freq	gameid	user
69	10483946	d387c02ba3bb7ea54bb1200eb391ad05
245	10655437	228559c219720e998b1d353daa67281f
94	18121481	ffb868cf13d28d6fe8b6e140ced05d7e
50	19049241	9e29800f3a97fe0bfc39cbf012ce8138
9	21554188	bce909865abdb6687dd1ccbea1fb172a
2	26962869	22dbb82de64ee97efa55a71daff2427d
100	30900473	71d1ac8ed5cb40671e0bf4d2a30d38bb
70	32950170	5ce3e63c3fe449351beff0eff74fe856
65	35643983	24957054b92d8fe6afca4c14dfcf3892
42	40904844	3a501163cc1466d60c5398727195f354
78	43346372	eca264fea95237e92b698afe858f138b
148	55107008	5975ff261dbd424ea0b5181f877de97a
2	59561974	4ff45a4ea39d65eb0a4497977e41cd54
24	60374084	9da491ecbbb5c5171aac75ed56dbe173
58	63960431	e4732f6110893d986adfd5b31be540f2
16	67544688	686818a9518cc43cb3986e7996bdf389
2	82196685	752e8ba577c028b665912b59a6c37bfa
6	85159873	3ec2b72556185dff36b0440cde141a52
1	94868282	e7bb61e67a356b1ed0ed55c600c444e7
16	98010070	81700ef9bdc4b4a21e533e5ced268777
